example_id                                     | status  | run_time        |
./spec/models/user_spec.rb[1:5:1]              | passed  | 0.00697 seconds |
./spec/models/user_spec.rb[1:6:1]              | passed  | 0.00402 seconds |
./spec/models/user_spec.rb[1:7:1]              | passed  | 0.01821 seconds |
./spec/models/user_spec.rb[1:8:1]              | passed  | 0.0251 seconds  |
./spec/models/user_spec.rb[1:8:2]              | passed  | 0.0186 seconds  |
./spec/models/user_spec.rb[1:9:1]              | passed  | 0.02001 seconds |
./spec/requests/sessions_spec.rb[1:1:1]        | pending | 0.00002 seconds |
./spec/requests/users_spec.rb[1:1:1]           | pending | 0.00002 seconds |
./spec/services/chatgpt_service_spec.rb[1:1:1] | passed  | 0.07111 seconds |
./spec/services/chatgpt_service_spec.rb[1:1:2] | passed  | 0.00498 seconds |
./spec/services/chatgpt_service_spec.rb[1:2:1] | passed  | 0.00371 seconds |
./spec/services/chatgpt_service_spec.rb[1:2:2] | passed  | 0.0548 seconds  |
